メッシュ名,メッシュ名略号,調査番号,調査日,階層,高さ,被度（％）,種名,学名,メッシュの主な所在地,環ＲＤＢ,ＮＲＤＢ,茨ＲＤＢ,群ＲＤＢ,埼ＲＤＢ,千ＲＤＢ,群馬県目録,栃木県目録,茨城県目録,埼玉県目録
54396655宇都宮,宇都宮55,8,2002年 7月29日,草本層,0.8,1,カモジグサ,Agropyron tsukushiense (Honda) Ohwi var. transiens (Hack.) Ohwi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,8,2002年 7月29日,草本層,0.3,5,セリ,Oenanthe javanica (Blume) DC.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,8,2002年 7月29日,草本層,0.2,3,ノミノフスマ,Stellaria alsine Grimm var. undulata (Thunb.) Ohwi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,8,2002年 7月29日,草本層,0.75,1,ヤナギタデ,Persicaria hydropiper (Linn.) Spach,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,8,2002年 7月29日,草本層,0.7,1,アメリカセンダングサ,Bidens frondosa Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,8,2002年 7月29日,草本層,0.3,0.5,ハキダメギク,Galinsoga ciliata (Rafin.) Blake,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,9,2002年 7月29日,草本層,0.4,20,ヒメジソ,Mosla dianthera (Hamilt.) Maxim.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,9,2002年 7月29日,草本層,0.6,10,イヌビエ,Echinochloa crus-galli (Linn.) Beauv.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,9,2002年 7月29日,草本層,0.6,0.01,イヌホタルイ,Scirpus juncoides Roxb. var. ohwianus T. Koyama,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,9,2002年 7月29日,草本層,0.35,1,ハキダメギク,Galinsoga ciliata (Rafin.) Blake,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,9,2002年 7月29日,草本層,0.45,5,アメリカセンダングサ,Bidens frondosa Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,9,2002年 7月29日,草本層,0.4,5,ミゾソバ,Persicaria thunbergii (Sieb. et Zucc.) H. Gross,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,9,2002年 7月29日,草本層,0.5,20,エゾノサヤヌカグサ,Leersia oryzoides (Linn.) Swartz,栃木県,,,,,,,○,○,,
54396655宇都宮,宇都宮55,9,2002年 7月29日,草本層,0.6,3,クサヨシ,Phalaris arundinacea Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,9,2002年 7月29日,草本層,0.15,15,ノミノフスマ,Stellaria alsine Grimm var. undulata (Thunb.) Ohwi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,9,2002年 7月29日,草本層,0.2,15,イボクサ,Murdannia keisak Hassk.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,9,2002年 7月29日,草本層,0.4,30,アキノウナギツカミ,Persicaria sieboldii (Meisn.) Ohki,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,10,2002年 7月29日,草本層,1.5,90,セイタカアワダチソウ,Solidago altissima Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,10,2002年 7月29日,草本層,0.1,0.05,コブナグサ,Arthraxon hispidus (Thunb.) Makino,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,10,2002年 7月29日,草本層,0.15,0.1,イヌビエ,Echinochloa crus-galli (Linn.) Beauv.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,10,2002年 7月29日,草本層,1.3,10,ツルマメ,Glycine max (Linn.) Merrill zubsp. soja (Sieb. et Zucc.) Ohashi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,10,2002年 7月29日,草本層,0.2,1,オヘビイチゴ,Potentilla sundaica (Blume) O. Kuntze var. robusta (Franch. et Savat.) Kitagawa,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,10,2002年 7月29日,草本層,0.2,0.5,ツユクサ,Commelina communis Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,10,2002年 7月29日,草本層,0.2,1,ヒメジョオン,Stenactis annuus (Linn.) Cass.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,11,2002年 7月29日,草本層,2.1,90,セイタカアワダチソウ,Solidago altissima Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,11,2002年 7月29日,草本層,0.8,3,タカアザミ,Cirsium pendulum Fischer,栃木県,,,,,,●,○,○,○,○
54396655宇都宮,宇都宮55,11,2002年 7月29日,草本層,0.4,2,ツユクサ,Commelina communis Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,11,2002年 7月29日,草本層,1.3,2,ヨモギ,Artemisia princeps Pampan.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,12,2002年 7月29日,草本層,1.5,90,ヨモギ,Artemisia princeps Pampan.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,12,2002年 7月29日,草本層,0.6,0.5,セリ,Oenanthe javanica (Blume) DC.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,12,2002年 7月29日,草本層,0.8,10,ツルマメ,Glycine max (Linn.) Merrill zubsp. soja (Sieb. et Zucc.) Ohashi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,12,2002年 7月29日,草本層,1,10,ヤブマメ,Amphicarpaea edgeworthii (Benth.) Ohashi var. japonica (Oliver) Ohashi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,12,2002年 7月29日,草本層,0.7,3,ツユクサ,Commelina communis Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,12,2002年 7月29日,草本層,1.2,2,ハッカ,Mentha arvensis Linn. var. piperascens Malinvaud,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,12,2002年 7月29日,草本層,0.7,0.5,ヤマノイモ,Dioscorea japonica Thunb.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,13,2002年 7月29日,草本層,0.6,95,アメリカセンダングサ,Bidens frondosa Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,13,2002年 7月29日,草本層,0.5,2,メヒシバ,Digitaria ciliaris (Retz.) Koeler,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,13,2002年 7月29日,草本層,0.3,1,キツネノマゴ,Justicia procumbens Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,13,2002年 7月29日,草本層,0.5,3,イヌタデ,Persicaria longiseta (De Bruyn) Kitagawa,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,13,2002年 7月29日,草本層,0.1,0.5,カキドオシ,Glechoma hederacea Linn. var. grandis (A. Gray) Kudo,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,13,2002年 7月29日,草本層,0.8,1,オオイヌタデ,Persicaria lapathifolia (Linn.) S. F. Gray,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,13,2002年 7月29日,草本層,0.55,0.5,ヌカキビ,Panicum bisulcatum Thunb.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,14,2002年 7月29日,草本層,1.6,90,セイタカアワダチソウ,Solidago altissima Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,14,2002年 7月29日,草本層,0.05,1,ヘビイチゴ,Duchesnea chrysantha (Zollinger et Moritzi) Miq.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,14,2002年 7月29日,草本層,0.03,1,ヤマサギゴケ,Mazus miquelii Makino form. rotundifolius (Franch. et Savat.) Yamazaki,栃木県,,,,,,,○,○,,
54396655宇都宮,宇都宮55,15,2002年 7月29日,草本層,0.6,90,チゴザサ,Isachne globosa (Thunb.) O. Kuntze,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,15,2002年 7月29日,草本層,0.6,15,ヒメアシボソ,Microstegium vimineum (Trin.) A. Camus,栃木県,,,,,,,,○,○,○
54396655宇都宮,宇都宮55,15,2002年 7月29日,草本層,0.6,1,カモジグサ,Agropyron tsukushiense (Honda) Ohwi var. transiens (Hack.) Ohwi,栃木県,,,,,,,○,○,○,○
